O1 + AggressiveInstCombinePass,269.1450000857003,268.3150000520982
O1 + AggressiveInstCombinePass,288.1300000590272,270.299999974668
O1 + AggressiveInstCombinePass,269.59999999962747,272.3600000026636
O1 + AggressiveInstCombinePass,268.6150000663474,270.34999994793907
O1 + AggressiveInstCombinePass,269.8599999421276,268.3400000096299
O1 + AggressiveInstCombinePass,289.47999997762963,270.51500004017726
SROA,276.01500001037493,268.999999971129
SROA,282.00499998638406,269.80499998899177
SROA,270.0900000054389,270.74999996693805
SROA,271.51000004960224,288.6049999506213
SROA,271.9749999814667,276.61999996053055
SROA,280.94500000588596,268.7850000220351
LICMPass,283.4249999723397,268.8550000311807
LICMPass,276.53999999165535,278.60499994130805
LICMPass,272.50000002095476,279.22500000568107
LICMPass,272.94500003336,275.9000000078231
LICMPass,270.7550000050105,270.9649999742396
LICMPass,282.7899999683723,291.90499999094754
InstCombinePass,971.7550000059418,1007.6349999872036
InstCombinePass,981.4899999764748,982.3949999990873
InstCombinePass,1021.6650000656955,974.1599999833852
InstCombinePass,972.3900000099093,976.3749999692664
InstCombinePass,972.234999993816,1000.3600000054576
InstCombinePass,1051.599999947939,969.0299999783747
LoopRotatePass,1221.4799999492243,1250.6200000061654
LoopRotatePass,1250.9699999936856,1241.8399999733083
LoopRotatePass,1231.3699999940582,1267.1799999661744
LoopRotatePass,1213.175000040792,1243.2900000130758
LoopRotatePass,1230.6899999966845,1246.2800000212155
LoopRotatePass,1246.7499999911524,1231.0649999999441
WebAssemblyRegStackify,827.980000001844,833.2850000006147
WebAssemblyRegStackify,849.8750000144355,832.9750000266358
WebAssemblyRegStackify,863.88999997871,834.1200000140816
WebAssemblyRegStackify,829.9199999892153,822.6750000030734
WebAssemblyRegStackify,826.1850000708364,811.139999947045
WebAssemblyRegStackify,816.3600000552833,828.9199999999255
O1 + ArgumentPromotionPass,281.9799999706447,268.8450000132434
O1 + ArgumentPromotionPass,270.92999999877065,276.21999999973923
O1 + ArgumentPromotionPass,281.7399999476038,269.1200000117533
O1 + ArgumentPromotionPass,268.7799999839626,272.1500000334345
O1 + ArgumentPromotionPass,269.15000000735745,270.09499998530373
O1 + ArgumentPromotionPass,269.765000033658,270.3249999904074
all,270.13499999884516,268.7150000128895
all,269.9849999626167,268.94500001799315
all,279.42500001518056,274.70000000903383
all,283.05000002728775,269.2599999718368
all,270.7649999647401,270.6649999599904
all,270.6300000427291,278.44499994535
EarlyCSEPass,948.6400000168942,948.2949999510311
EarlyCSEPass,956.5350000048056,924.8200000147335
EarlyCSEPass,925.3699999535456,946.6600000159815
EarlyCSEPass,926.2950000120327,939.0100000309758
EarlyCSEPass,939.4150000298396,924.5050000026822
EarlyCSEPass,944.2249999847263,923.41500002658
PromotePass,271.0750000551343,273.1849999399856
PromotePass,267.31500000460073,272.8149999747984
PromotePass,267.89999997708946,271.4900000137277
PromotePass,273.63000001059845,269.61499999742955
PromotePass,278.4849999588914,269.1249999916181
PromotePass,270.5100000021048,271.0150000057183
ADCEPass,805.3550000768155,821.7449999647215
ADCEPass,819.8049999191426,804.2600000044331
ADCEPass,790.9299999591894,804.5150000252761
ADCEPass,807.2849999880418,804.0549999568611
ADCEPass,812.6600000541657,805.0750000402331
ADCEPass,797.7550000068732,793.4100000420585
O1 + CallSiteSplittingPass,283.0850000027567,271.4300000225194
O1 + CallSiteSplittingPass,270.05500002996996,267.954999988433
O1 + CallSiteSplittingPass,287.94000000925735,268.91999994404614
O1 + CallSiteSplittingPass,267.4150000093505,270.01999999629334
O1 + CallSiteSplittingPass,268.4449999942444,268.78999994369224
O1 + CallSiteSplittingPass,265.85500000510365,280.8450000011362
SimplifyCFGPass,1062.9100000369363,1083.0450000357814
SimplifyCFGPass,1053.2900000107475,1070.4200000036508
SimplifyCFGPass,1063.3649999508634,1073.9700000267476
SimplifyCFGPass,1041.5499999653548,1065.0899999891408
SimplifyCFGPass,1046.5449999901466,1066.6000000783242
SimplifyCFGPass,1070.5900000757538,1065.740000049118
